"id_subj","group","n_trial","rt","acc","identity","pressed_key","link","block_order"
"CNTRL01","CTRL",1,NA,0,"go","","hsam_q1","self-first"
"CNTRL01","CTRL",2,0.533,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",3,0.436,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",4,0.384,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",5,0.617,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",6,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",7,0.477,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",8,0.462,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",9,0.426,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",10,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",11,0.452,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",12,0.451,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",13,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",14,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",15,0.465,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",16,0.409,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",17,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",18,0.509,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",19,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",20,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",21,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",22,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",23,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",24,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",25,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",26,0.451,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",27,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",28,0.591,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",29,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",30,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",31,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",32,0.467,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",33,0.309,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",34,0.45,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",35,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",36,0.499,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",37,0.418,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",38,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",39,0.385,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",40,0.602,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",41,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",42,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",43,0.366,1,"go","l","hsam_q1","self-first"
"CNTRL01","CTRL",44,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",45,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",46,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",47,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",48,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",49,NA,1,"no-go","","hsam_q1","self-first"
"CNTRL01","CTRL",50,0.457,1,"go","a","hsam_q1","self-first"
"CNTRL01","CTRL",51,NA,1,"no-go","","hsam_q1","self-first"
