"id_subj","group","n_trial","rt","acc","identity"
"CNTRL01","CTRL",1,0.844,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",2,0.698,1,"non-matching TU"
"CNTRL01","CTRL",3,0.801,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",4,0.724,1,"non-matching TU"
"CNTRL01","CTRL",5,0.799,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",6,1.207,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",7,0.699,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",8,0.727,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",9,0.842,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",10,0.779,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",11,0.784,1,"non-matching TU"
"CNTRL01","CTRL",12,0.884,1,"non-matching TU"
"CNTRL01","CTRL",13,1.051,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",14,1.018,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",15,0.71,1,"matching TU"
"CNTRL01","CTRL",16,0.665,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",17,0.783,1,"matching TU"
"CNTRL01","CTRL",18,0.818,1,"non-matching TU"
"CNTRL01","CTRL",19,0.801,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",20,0.734,1,"non-matching TU"
"CNTRL01","CTRL",21,0.822,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",22,0.75,1,"matching TU"
"CNTRL01","CTRL",23,1.21,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",24,0.723,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",25,0.833,1,"non-matching SCONOSCIUTO"
"CNTRL01","CTRL",26,1.151,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",27,0.551,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",28,0.549,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",29,0.551,1,"matching SCONOSCIUTO"
"CNTRL01","CTRL",30,0.666,1,"non-matching TU"
"CNTRL01","CTRL",31,0.642,1,"matching TU"
